level,CLP_ID,node_bf,License_Type,Region,Sub_Region_Group,node_af,level1
1,2f375a65-b1ae-4182-8086-ccc5dd2e90b3,Current Onboard,Paid,AMEA,APAC exclude Pan Asia,No usage,1
1,7c2be402-03f4-4316-9aa4-e86a985786f0,Current Onboard,Paid,Europe,Southern Europe,No usage,1
1,9b3e9d6a-dcd2-4004-9b6e-5ae08e3f3b1d,Current Onboard,Trial,Americas,North America,No usage,1
1,dd4fdebb-3655-461b-90ff-471099d9a87c,Current Onboard,Trial,Europe,Germany,Only UI,1
1,f8ddeb8a-5a8a-40cf-b019-f5f9a3135f00,Current Onboard,Paid,Americas,North America,Only UI,1
1,a423ec23-3b5b-4282-a4e6-b7c6e35b746e,Current Onboard,Paid,AMEA,APAC exclude Pan Asia,No usage,1
1,77cb5427-f33f-4c9e-83cb-52a6bd150ab0,Current Onboard,Paid,AMEA,APAC exclude Pan Asia,Only UI,1
1,db35dc4a-7ed4-4624-bbe9-7dc45d15f147,Current Onboard,Paid,Americas,North America,No usage,1
1,56507a60-8809-46a8-89e6-8679a1dc2de3,Current Onboard,Paid,Europe,Southern Europe,Only UI,1
1,13b21e00-f955-4b4f-ad65-c7c347d04984,Current Onboard,Paid,Americas,Latin America,Only UI,1
1,1c3092c0-41b7-47d3-b1ab-b6cb47d256cc,Current Onboard,Trial,AMEA,MMEA,Only UI,1
1,d9673741-0ba1-44d3-b7df-3d5e17699d92,Current Onboard,Paid,AMEA,Pan Asia,Only UI,1
1,37e41fa4-2142-450e-8742-47577ffab7b8,Current Onboard,Essential Access,Japan,Japan,Only UI,1
1,9e7b9027-95a8-4088-8115-aebc6d31404f,Current Onboard,Trial,Europe,Benelux,Only UI,1
1,a43e6c92-f3ce-4591-8e8d-d7b2e9ec5188,Current Onboard,Paid,Europe,Southern Europe,Only UI,1
1,6682ee57-00f5-4e3e-93e5-81394a20820c,Current Onboard,Trial,Americas,North America,No usage,1
1,31b7d3e0-f6f3-4c1b-9645-b550112e6a13,Current Onboard,Trial,AMEA,APAC exclude Pan Asia,No usage,1
1,574bf39f-2af0-4f87-a3a0-4857ab27e9bf,Current Onboard,Essential Access,Europe,Germany,No usage,1
1,36cbe63b-2ab6-4fd8-9858-5a268f60e57b,Current Onboard,Paid,Americas,Latin America,No usage,1
1,272c2efe-9839-4b03-8b7a-11443876980d,Current Onboard,Trial,AMEA,APAC exclude Pan Asia,Only UI,1
1,d21c63b5-ed25-4082-8416-c962d2e9c62a,Current Onboard,Trial,Europe,Southern Europe,No usage,1
1,04e64cf7-c34e-4c6e-b3b1-3e6befc5ecee,Current Onboard,Trial,Americas,North America,No usage,1
1,6852e309-2fd7-4f6c-a836-f572df20d833,Current Onboard,Paid,AMEA,APAC exclude Pan Asia,Only UI,1
1,ce5618a5-3de6-42ed-b41f-ac2d4c1c24f6,Current Onboard,Paid,Europe,Germany,No usage,1
1,1dd4d7df-af25-41b5-9c23-d811bf3bf48c,Current Onboard,Paid,Americas,North America,No usage,1
1,43c1acc6-5d90-485a-8ccd-45be5e2a2b80,Current Onboard,Paid,Americas,North America,Only UI,1
1,96e34e30-168c-4ea2-9853-f5e737151aa9,Current Onboard,Trial,AMEA,APAC exclude Pan Asia,No usage,1
1,150a10e0-0d8d-4af4-a26c-1dbad61b3d04,Current Onboard,Paid,Japan,Japan,Only UI,1
1,ab01498b-aa5b-469e-a4ee-babfa40f6ede,Current Onboard,Trial,AMEA,APAC exclude Pan Asia,No usage,1
1,a08af730-8ba7-44ef-9a21-921c6cd15307,Current Onboard,Paid,Americas,North America,Only UI,1
1,bc40d114-0b89-440c-bd31-fb5a78db7a26,Current Onboard,Paid,AMEA,APAC exclude Pan Asia,Only UI,1
1,ceeb07bf-cb39-48c3-9a3a-989eb9c6fe77,Current Onboard,Paid,Europe,UK Region,No usage,1
1,6277798f-52f7-40fa-b529-5fffc8097089,Current Onboard,Paid,Americas,North America,No usage,1
1,0026a3c8-ebb0-447d-98f2-b16a8d99e546,Current Onboard,Trial,Americas,Latin America,Only UI,1
1,9e734f0a-63e2-42f8-b894-68700ee3c735,Current Onboard,Paid,Japan,Japan,No usage,1
1,2bff7b26-437c-4ae4-ad00-7c69ffec9c7c,Current Onboard,Trial,AMEA,Pan Asia,Only UI,1
1,2ddc0ec2-b121-4a9d-9c3a-bf3384053840,Current Onboard,Paid,Europe,Germany,No usage,1
1,1ea334de-e669-4efa-b47c-31e5d0ae249e,Current Onboard,Paid,Japan,Japan,Only UI,1
1,f643b02c-00ee-4fea-99ff-d979da24cee5,Current Onboard,Trial,AMEA,MMEA,No usage,1
1,73b3f24a-f9f6-4e20-be2a-e5921478aa72,Current Onboard,Paid,Europe,Germany,No usage,1
1,62a6b989-b18e-4505-b47e-6998dcbe682a,Current Onboard,Trial,Europe,Southern Europe,No usage,1
1,7d3120a0-0ea8-4028-b9cf-6adb20a95c32,Current Onboard,Paid,Americas,Latin America,No usage,1
1,a23a125f-8f3b-4188-9b4e-0f90786a9b1d,Current Onboard,Trial,Europe,Southern Europe,Only UI,1
1,1bf3549f-c0ed-4207-b437-8fc4d9062f42,Current Onboard,Trial,AMEA,APAC exclude Pan Asia,No usage,1
1,3b74a4d9-86a8-4158-ad99-dcf731c58063,Current Onboard,Trial,Americas,Latin America,No usage,1
1,c9c152cd-6d02-4dc9-8b2c-ddc9e735ea4c,Current Onboard,Paid,Europe,Southern Europe,Only UI,1
1,e15d5693-5c70-47f8-b541-f8de91507b4b,Current Onboard,Trial,AMEA,MMEA,No usage,1
1,2eaa4b42-e67d-482c-b838-20ddc36af0e6,Current Onboard,Trial,Japan,Japan,No usage,1
1,e43ec8d1-8098-48b3-a3f7-2c54fe7fd524,Current Onboard,Essential Access,AMEA,MMEA,Only UI,1
1,087ab872-b808-4c73-9660-dacfc31c9bed,Current Onboard,Paid,AMEA,APAC exclude Pan Asia,No usage,1
1,8240347d-1ace-45a0-91b7-fcc7875f321a,Current Onboard,Paid,Americas,North America,No usage,1
1,ba554f64-6d5a-43cb-961f-f449030227ce,Current Onboard,Paid,AMEA,APAC exclude Pan Asia,Only UI,1
1,1a8102a8-4b25-4960-932a-58fea942ca35,Current Onboard,Trial,Europe,UK Region,No usage,1
1,e02c2c6d-4a64-4b60-a7a7-780bb144780a,Current Onboard,Paid,Americas,Latin America,No usage,1
1,ed85bfed-b165-4ec9-a256-43eb6940c215,Current Onboard,Trial,Americas,North America,No usage,1
1,543c494f-b7c1-45e4-b0c0-463780f67d2f,Current Onboard,Trial,AMEA,MMEA,Only UI,1
1,3b7a7f90-0e6a-4bf0-bf9d-b63b4c9cf143,Current Onboard,Trial,Europe,CEE,Only UI,1
1,e62e084f-81d7-4a79-9d2d-eca68e33b1ab,Current Onboard,Trial,Europe,CEE,No usage,1
1,82fc2fe4-2809-46b8-952b-0036ba8817e1,Current Onboard,Paid,Americas,Latin America,Only UI,1
1,3e3854a2-627c-4198-8f5c-0a4d22938733,Current Onboard,Paid,Americas,Latin America,Only API,1
1,331c5baa-3b7a-483d-973b-9d18330797cd,Current Onboard,Paid,Americas,North America,Only UI,1
1,b52c2c62-4c7b-4856-b0f3-69055e2c50b4,Current Onboard,Trial,Europe,CEE,No usage,1
1,a8f13031-78ad-48ef-be16-966f6c4af6e5,Current Onboard,Paid,AMEA,MMEA,No usage,1
